# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.155015617609024048e-01 2.464195638895034790e-01 7.442444562911987305e-01 2.155015617609024048e-01 2.464195638895034790e-01 7.442444562911987305e-01
1.000000000000000000e+03 4.706716537475585938e-02 8.995566517114639282e-03 2.021750956773757935e-01 4.706716537475585938e-02 8.995566517114639282e-03 2.021750956773757935e-01
2.000000000000000000e+03 6.491084396839141846e-02 2.948049921542406082e-03 1.307106763124465942e-01 6.491084396839141846e-02 2.948049921542406082e-03 1.307106763124465942e-01
3.000000000000000000e+03 6.273341178894042969e-02 1.462146290577948093e-03 1.095968037843704224e-01 6.273341178894042969e-02 1.462146290577948093e-03 1.095968037843704224e-01
4.000000000000000000e+03 5.565064027905464172e-02 5.892062326893210411e-04 9.047988802194595337e-02 5.565064027905464172e-02 5.892062326893210411e-04 9.047988802194595337e-02
5.000000000000000000e+03 4.246102645993232727e-02 5.457164952531456947e-04 6.407774239778518677e-02 4.246102645993232727e-02 5.457164952531456947e-04 6.407774239778518677e-02
6.000000000000000000e+03 3.373342379927635193e-02 5.854162736795842648e-04 4.767018556594848633e-02 3.373342379927635193e-02 5.854162736795842648e-04 4.767018556594848633e-02
7.000000000000000000e+03 2.507625520229339600e-02 6.921875756233930588e-04 3.022872284054756165e-02 2.507625520229339600e-02 6.921875756233930588e-04 3.022872284054756165e-02
8.000000000000000000e+03 2.069970034062862396e-02 5.625876947306096554e-04 2.179160341620445251e-02 2.069970034062862396e-02 5.625876947306096554e-04 2.179160341620445251e-02
9.000000000000000000e+03 1.888478361070156097e-02 4.625589353963732719e-04 1.773575507104396820e-02 1.888478361070156097e-02 4.625589353963732719e-04 1.773575507104396820e-02
1.000000000000000000e+04 1.748752035200595856e-02 3.740247339010238647e-04 1.556643564254045486e-02 1.748752035200595856e-02 3.740247339010238647e-04 1.556643564254045486e-02
1.000000000000000000e+04 1.748752035200595856e-02 3.740247339010238647e-04 1.556643564254045486e-02 1.748752035200595856e-02 3.740247339010238647e-04 1.556643564254045486e-02
1.001600000000000000e+04 1.748752035200595856e-02 3.740247339010238647e-04 1.556643564254045486e-02 1.748752035200595856e-02 3.740247339010238647e-04 1.556643564254045486e-02
1.001600000000000000e+04 1.828722283244132996e-02 3.740247339010238647e-04 1.556643564254045486e-02 1.748752035200595856e-02 3.740247339010238647e-04 1.556643564254045486e-02
1.100000000000000000e+04 1.725200004875659943e-02 3.264214028604328632e-04 1.501369476318359375e-02 1.723408326506614685e-02 3.264214028604328632e-04 1.501369476318359375e-02
1.200000000000000000e+04 2.866258472204208374e-02 2.700507757253944874e-04 1.458954252302646637e-02 2.867235988378524780e-02 2.700507757253944874e-04 1.458954252302646637e-02
1.300000000000000000e+04 1.480656117200851440e-02 2.513861400075256824e-04 1.285345666110515594e-02 1.479804236441850662e-02 2.513861400075256824e-04 1.285345666110515594e-02
1.400000000000000000e+04 1.409715507179498672e-02 2.510047634132206440e-04 1.170733664184808731e-02 1.409399881958961487e-02 2.510047634132206440e-04 1.170733664184808731e-02
1.500000000000000000e+04 1.298080291599035263e-02 2.068445028271526098e-04 1.086730416864156723e-02 1.297503616660833359e-02 2.068445028271526098e-04 1.086730416864156723e-02
1.600000000000000000e+04 1.183363050222396851e-02 2.184191689593717456e-04 9.969708509743213654e-03 1.183417811989784241e-02 2.184191689593717456e-04 9.969708509743213654e-03
1.700000000000000000e+04 1.095577050000429153e-02 2.132455992978066206e-04 9.069619700312614441e-03 1.094753388315439224e-02 2.132455992978066206e-04 9.069619700312614441e-03
1.800000000000000000e+04 1.017268188297748566e-02 2.242169721284881234e-04 8.176969364285469055e-03 1.016287412494421005e-02 2.242169721284881234e-04 8.176969364285469055e-03
1.900000000000000000e+04 9.416758082807064056e-03 1.990488526644185185e-04 7.453200407326221466e-03 9.392532519996166229e-03 1.990488526644185185e-04 7.453200407326221466e-03
2.000000000000000000e+04 8.793923072516918182e-03 1.744945038808509707e-04 6.801683455705642700e-03 8.756424300372600555e-03 1.744945038808509707e-04 6.801683455705642700e-03
2.001600000000000000e+04 8.789376355707645416e-03 1.756057463353499770e-04 6.783008575439453125e-03 8.751452900469303131e-03 1.756057463353499770e-04 6.783008575439453125e-03
2.001600000000000000e+04 8.789376355707645416e-03 1.756057463353499770e-04 6.783008575439453125e-03 8.751452900469303131e-03 1.756057463353499770e-04 6.783008575439453125e-03
2.003100000000000000e+04 8.789376355707645416e-03 1.756057463353499770e-04 6.783008575439453125e-03 8.751452900469303131e-03 1.756057463353499770e-04 6.783008575439453125e-03
